product_name,product_url
Amazon Basics HDMI Cable,https://www.amazon.in/dp/B014I8SSD0
red tape men pull on clogs,https://www.amazon.in/Red-Tape-Designer-Comfortable-Adjustable/dp/B0CSWN8GM3?ref=dlx_19835_dg_dcl_B0CSWN8GM3_dt_mese30_62_pi&pf_rd_r=7KAKPT4R66BBGF6HRTV4&pf_rd_p=774d09f4-cb15-4ccb-8bab-8b5a8e75f162&th=1&psc=1
HydroGrind Powerful 750 W Juicer Mixer Grinder For Kitchen 4 Jars,https://amzn.in/d/06hmkbYC
Pigeon by Stovekraft Favourite Outer Lid Non Induction Aluminium Pressure Cooker,3 Litres,https://www.amazon.in/Pigeon-Favourite-Induction-Aluminium-Pressure/dp/B00VK5MCMI/ref=sr_1_6
bag,https://www.amazon.in/dp/B0GY989W1X/?coliid=I30JPNSIB43EEI&colid=3SV3GH5P4OH8V&psc=0&ref_=cm_sw_r_cp_ud_lstpd_3NC8VC6V30GBFKJQG1JG
