product_name,product_url
Amazon Basics HDMI Cable,https://www.amazon.in/dp/B014I8SSD0
SanDisk 32GB Pendrive,https://www.amazon.in/dp/B07F6JCK5W
red tape men pull on clogs,https://www.amazon.in/Red-Tape-Designer-Comfortable-Adjustable/dp/B0CSWN8GM3?ref=dlx_19835_dg_dcl_B0CSWN8GM3_dt_mese30_62_pi&pf_rd_r=7KAKPT4R66BBGF6HRTV4&pf_rd_p=774d09f4-cb15-4ccb-8bab-8b5a8e75f162&th=1&psc=1
